Entity,Code,Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Afghanistan,AFG,11,,2.8508558,0.8340006,-0.43822098,-1.3588943,-1.8335071,0.23091555,1.1399732,-0.46471214,-1.0195184,-1.1252775,-0.5393071,-0.1225729,0.4858613,0.39147234,-0.3187151,-0.31735468,2.5039358,0.3602047,-0.79290247,2.4016485,-1.6322689,0.8026557,1.3860602,-1.7267051,-0.5403309,1.7036877,-1.4073539,-2.7988884,0.76509714,3.066536,0.35910606,0.95289755,-0.5517459,1.0470533,-0.29229116,1.8531141,0.8996892,-0.46131325,-0.044092655,0.90013075,1.1139569,-2.9292943,0.054243565,1.0127039,-2.0575986,-2.1735044,0.8362384,-2.655088,-2.4197235,-1.089941,0.4648075,0.90647745,1.2990737,0.37370825,-2.293981,-0.61288404,0.02579689,-3.1575694,0.6548395,-1.1830521,-0.63424015,-3.2453666,-2.2148223,-2.1910129,-2.3049865,-3.0647418,-2.4594085,0.17082024,1.6767273,-1.5203056,-1.8292747,-1.8030438,0.31467342,-2.752732
Afghanistan,AFG,12,,3.1054296,0.23022985,1.9447182,-2.0448327,0.9905981,1.3901795,0.42298305,3.3385863,-0.59008104,0.0866878,-1.2117602,-1.6392233,-2.1457925,0.2325294,-0.6314645,0.22780931,-1.7044017,-2.31855,0.83328986,0.3485782,-0.53193283,-0.87192297,2.3776507,0.52094924,0.80261517,4.5390964,-1.2834618,-0.08117533,-2.5878072,-1.2356007,0.85321,0.87725055,1.0359904,-1.0409347,0.8331654,2.1132174,2.5536308,-2.0488775,-0.85229135,-3.4660554,-1.3334129,-3.2428203,0.85474014,1.178085,0.018519402,2.4731288,1.1393324,-1.5308621,-1.298984,-2.5494728,-1.8971671,-2.977419,2.916595,0.17775309,2.0927114,-1.043027,-1.6412473,0.10997367,-1.7903773,-4.5238853,-1.2689677,-1.9105554,-1.1609674,-1.5497725,-4.0442486,0.9246187,-0.844556,-0.699744,0.22524703,-1.4629868,0.20669758,-2.6866639,1.982786,-4.3246
Albania,ALB,1,1.8848741,2.3980563,-0.22118711,1.3567073,0.45292592,-1.9453101,1.7484748,-3.0122952,0.7878182,0.16982579,3.2034123,1.1205328,-2.444641,0.05636716,0.69904876,0.94965243,0.38159347,1.9035985,-2.658444,-0.7783916,-1.3253548,1.6894343,-1.7701895,2.5449803,-4.3588824,0.103901625,1.6317604,1.9596674,0.92915654,-0.43526697,1.9621427,-1.6459785,-1.0479097,-0.87162995,-0.7570224,-0.9801879,2.7905881,-0.021799564,0.5454922,-0.9949641,1.0354111,-0.17340875,0.617044,-2.9140792,-2.0803273,-1.6520883,-0.66085076,0.6058643,-0.15289831,-0.89296174,-0.0041208267,-0.43439865,1.2946031,2.4391186,1.9136002,-0.85950255,-2.9962661,-2.678105,-1.5860646,-0.57877684,-2.214408,-2.7579195,1.4483058,-0.3438716,-0.21266413,-1.888465,-0.53488517,-1.5244602,0.4415691,2.6779187,-3.0578017,-0.85155773,-0.13634014,0.6196799,-2.4547117
Albania,ALB,2,3.771185,0.27152395,1.0064712,1.76687,1.8423314,0.9450159,0.6971526,2.5946026,4.636322,-0.38640952,3.286934,0.9143462,-2.7245822,0.38951588,0.3474183,-1.2412932,0.16646338,1.7621078,-1.5588863,-3.0330093,-0.2613206,-4.580558,2.6094975,0.61077166,-0.6279521,-2.4132104,1.5495186,0.70934486,-1.3034906,2.1122303,0.033929825,-2.632584,-2.2602687,-2.1839502,1.9177909,1.177352,-0.034718513,0.85778093,-0.29899263,-2.7509098,0.22564363,-2.5088344,-1.498574,-1.1538296,-0.27262735,1.2481551,1.0403824,3.3842168,-0.030613422,-1.4240079,1.0926976,-0.63697505,1.2793078,-0.26446247,0.05579281,0.7190571,1.2158589,-1.381542,2.2784057,-4.948046,-1.2385256,-0.7113068,-2.8870366,-1.3011572,0.13151932,-2.1498525,1.225285,1.3879342,-4.5250826,2.1049109,-3.0111372,-1.0993524,-1.5236166,1.2793679,0.30928278
Albania,ALB,3,,1.1917009,-2.3260798,-1.1254749,0.9244919,2.185526,0.95650196,2.4586039,0.7493334,-0.18051767,1.2831278,0.70193005,0.89735603,-0.0724659,-0.3148837,-1.2150145,0.5502186,0.9603472,-0.899755,-1.1950684,-0.5191126,-1.4557905,1.6808147,3.0064096,-1.8575044,-0.510602,-2.4880214,-0.6839137,-3.4772227,-1.2278094,1.6090498,-2.4161763,-0.9511728,1.5013142,2.052455,2.0718966,-1.5012946,-4.9792466,0.63906384,-0.43971062,-1.3362312,0.022471428,-1.417398,1.2532053,-0.69851303,0.7770748,-0.110256195,1.7483263,-1.1819315,0.7974024,0.6552229,-2.9656959,1.1495819,-3.1575518,-0.6887541,-0.37105322,-1.0737953,-0.281425,-2.0146298,-1.7494273,0.072265625,-2.925836,-1.6259527,0.581192,-0.44183874,1.6674957,-2.9343882,-0.47849226,-3.8176951,-1.3797193,-0.048263073,-2.7169495,-1.7134409,-0.4852295,-0.116853714
Albania,ALB,4,,-1.2095556,-0.16490269,-1.4692869,0.005036354,0.6724701,3.8750925,0.009978294,2.690549,-0.4185953,-0.18775082,1.8380241,0.19431591,0.4335041,0.79002666,0.90329933,-0.15791893,0.8677559,0.5860281,-0.8908148,0.6258669,-1.6575594,-0.22273159,-1.2136669,1.3837605,-0.20655441,0.46106243,-4.6031766,-1.0000067,-1.8844347,-0.14545345,-0.5046873,-0.476223,-1.7671938,-0.38155937,1.3510504,-0.43548298,-0.92506695,0.73706436,0.30568218,-1.467598,0.67393875,-1.3645868,-0.048383713,-2.3642778,-1.9623871,-1.401329,-0.5433693,-0.8733864,-0.21850681,-1.5208988,-2.2436714,0.73478603,0.11294365,-0.33906078,-1.0122766,1.7784853,-1.158268,-0.31956863,-2.5495195,-0.7778425,-0.87802315,-0.23949528,1.6560183,-0.5608616,-0.41910362,-2.3170414,0.06959915,-1.3905058,-2.610199,-1.8909101,0.28643036,1.7770805,-0.3085432,0.30554008
Albania,ALB,5,,-0.23645496,1.2884855,0.19941998,0.35616016,-2.1902037,1.861373,0.016781807,-0.9396467,1.182292,-1.1436749,0.7641268,-0.45928478,-0.52502155,-0.2616825,1.1358919,0.07387543,0.70758915,-0.028105736,0.41305637,-2.3332157,2.5333776,0.12874794,0.79132557,1.1530313,1.0230131,-0.4749899,0.28039265,0.49077892,-1.2564983,0.74345875,0.092951775,-0.59042835,-3.5454683,-0.4760828,-1.6698532,0.32931995,-2.337617,0.8544035,0.91621304,-0.45979404,0.2575407,-0.055514336,-1.4348755,-2.7053423,-0.4999876,-1.7317762,0.48300648,-0.4447708,-0.10204029,-2.1102962,0.61737347,-0.53698444,0.8363733,-2.5684881,2.1078024,2.4150991,-0.28915405,-1.7805109,-2.1394844,-1.2722816,-1.2253962,-0.079211235,-1.3071747,-0.7609148,-1.0177717,0.87328434,-2.1407232,-1.1176758,0.18393421,-2.1032448,-1.272232,-0.99291515,-0.092969894,0.24749851
Albania,ALB,6,,0.079092026,2.4465847,0.787632,-1.3007507,1.6084824,-0.12965393,1.688427,0.5965214,-0.32030106,-0.50642776,-0.533453,1.8088436,-0.15860367,-0.6237011,-0.9218712,0.034461975,1.1096497,-0.9300804,-1.1434937,-0.5839195,2.4543495,0.66825867,-1.0754719,0.5618477,0.39263725,0.3837223,0.6871357,0.27025986,-0.84423256,-0.6691055,0.008930206,-1.886116,-0.6463165,-1.0329037,-2.9049625,-1.2616253,-1.2230148,-1.1356792,-1.2677021,-1.7641716,-2.2176666,0.53694534,0.26784515,-1.9118633,-0.12029648,-1.0733547,-1.2518291,-1.7639923,-1.4922829,-1.6541767,-0.79901505,0.4138527,-1.0008202,-0.85943794,-1.9080334,-1.0297928,-2.501009,-1.5409164,-1.5416069,-0.41496468,-0.9861336,-1.3200798,-0.7421131,-0.6123142,-2.2098274,-1.0402794,1.1207733,-2.0913124,-0.734375,0.5370197,-0.5042381,0.6112995,-0.3089695,0.58756065
Albania,ALB,7,,2.2380104,1.5932484,1.6589985,0.34909248,0.11463165,-0.19314766,1.50103,0.54320335,2.186121,-1.4072475,-0.1575203,2.315508,-0.4438305,-0.36372375,-0.027215958,-0.112140656,1.513094,-0.4344654,-0.44355965,-0.37370682,0.9312916,-0.021917343,-0.059692383,-0.45518303,-0.25580025,0.5225868,-0.90509605,-0.833416,0.14857292,0.4410591,-1.0298786,-1.5517597,-1.4968872,-0.26208115,-1.3740158,2.1476498,0.90302277,-1.7103901,-0.14318848,-1.4224243,-0.5093918,-0.87714005,-1.9836578,-1.5248318,-1.6213436,-1.3368607,-0.33906364,-2.1953354,-1.461052,-1.179369,-0.86724854,-1.7024708,-1.891058,-1.2252388,-2.4530392,-1.1343594,-1.0201035,-2.2837868,-0.7758045,-1.9161472,-0.18878937,-0.1999836,-0.98493195,-1.7281513,-1.4461441,-0.38097382,-0.29294014,-0.37251854,-1.0966244,-0.8466568,0.9335079,1.0785332,-0.41119576,2.712328
Albania,ALB,8,,0.35895157,0.3657894,1.4567032,0.53265,1.427412,0.1833458,1.7007713,-0.4388504,0.80331993,-0.49354553,0.701437,1.21945,0.5258007,0.4189968,0.20961761,0.49394798,0.47023582,-1.5808296,-2.0053768,-1.6448326,1.4702301,-2.0512753,0.82291794,0.34267044,0.5594578,1.1406403,-2.1399517,-0.8154869,-2.4683342,0.86937904,0.32399178,1.105072,-1.6828575,-1.0833111,-1.617569,0.596817,-1.0275517,-0.16119003,-0.48419762,-2.5238724,-2.1194534,-0.8712883,-1.6163425,-0.78323364,-2.6816635,-2.0180988,-1.3297787,-4.6147614,-2.2396011,-0.29685402,-1.3647556,-2.4724388,0.06282616,-1.1821308,-1.8765373,-3.2323017,-0.19128036,-1.1825237,-2.9383965,-2.2725353,-0.3399048,1.4168282,-0.4570675,-0.30859566,-2.2885056,0.5946903,-0.9441967,1.0010147,-3.065918,-1.2722893,-0.5282459,2.3805904,0.7314987,1.1729298
